date,stream,id,PO4,NO3
6/21/2003,BVA,37793_BVA,8.721791784,2.445242759
6/23/2003,CHO,37795_CHO,1.719695114,3.789402755
6/23/2003,ELK,37795_ELK,5.691517636,8.368108331
6/23/2003,MAR,37795_MAR,0.950116251,5.977854668
6/24/2003,VAL,37796_VAL,0.625148953,4.432535599
6/25/2003,LAK,37797_LAK,3.63339142,0
6/26/2003,SFS,37798_SFS,5.206237081,0
7/28/2003,BVA,37830_BVA,7.249790502,0.401115867
7/29/2003,CHO,37831_CHO,1.522147633,0.879206904
7/29/2003,MAR,37831_MAR,1.124801887,14.70498062
7/30/2003,ELK,37832_ELK,4.18021879,0.157123842
7/30/2003,VAL,37832_VAL,0.854849434,0.987039055
7/31/2003,LAK,37833_LAK,7.673143661,0.437072947
8/4/2003,SFS,37837_SFS,6.945136447,1.028535378
8/21/2003,LAK,37854_LAK,8.316042119,0.231285635
8/25/2003,BVA,37858_BVA,3.931867451,0.773752938
8/25/2003,ELK,37858_ELK,5.877176268,6.19261119
8/25/2003,VAL,37858_VAL,1.324504225,3.66476092
8/26/2003,CHO,37859_CHO,1.675606691,4.440990802
8/26/2003,MAR,37859_MAR,1.606145068,21.57830228
8/27/2003,SFS,37860_SFS,6.645172067,0.041298968
9/15/2003,BVA,37879_BVA,4.12312259,0.162400483
9/16/2003,ELK,37880_ELK,3.688533052,0.712187806
9/17/2003,CHO,37881_CHO,1.555195657,0.198686198
9/17/2003,MAR,37881_MAR,0.792542989,28.21326447
9/18/2003,VAL,37882_VAL,2.120316687,5.179853003
9/21/2003,LAK,37885_LAK,6.049808972,0.105951842
9/25/2003,SFS,37889_SFS,5.838666942,0.027511375
7/12/2004,SFS,38180_SFS,6.763903875,1.213978392
7/13/2004,CHO,38181_CHO,1.324618452,1.642423751
7/14/2004,ELK,38182_ELK,4.063267103,0.604551721
7/15/2004,MAR,38183_MAR,0.884614758,13.6635678
7/16/2004,BVA,38184_BVA,7.125626023,0.773110742
7/16/2004,VAL,38184_VAL,1.665933357,3.762820233
7/18/2004,LAK,38186_LAK,402.3053119,552.5984032
8/16/2004,MAR,38215_MAR,2.191297517,16.39728795
8/16/2004,VAL,38215_VAL,2.158332666,1.641216217
8/17/2004,BVA,38216_BVA,7.106102017,1.488741698
8/18/2004,ELK,38217_ELK,7.075096226,3.867918676
8/19/2004,SFS,38218_SFS,8.50464273,1.059357778
9/13/2004,SFS,38243_SFS,7.317099,0.393424899
9/14/2004,MAR,38244_MAR,1.318655776,22.02490756
9/14/2004,VAL,38244_VAL,0.171607141,5.054657105
9/16/2004,BVA,38246_BVA,7.657206841,0.32083435
9/16/2004,CHO,38246_CHO,1.729753002,2.235378923
9/16/2004,ELK,38246_ELK,5.089597467,1.740719167
9/23/2004,LAK,38253_LAK,4.96471725,0.312645767
7/22/2005,LAK,38555_LAK,4.069744362,0.095716286
7/23/2005,SFS,38556_SFS,6.229209463,0
7/24/2005,MAR,38557_MAR,1.08877451,18.32960265
7/24/2005,VAL,38557_VAL,0.652434933,1.518134781
7/25/2005,BVA,38558_BVA,5.779772414,0.861620844
7/25/2005,ELK,38558_ELK,5.693351062,2.173132591
7/27/2005,CHO,38560_CHO,1.925576708,1.019769104
8/31/2005,LAK,38595_LAK,2.241750304,0.222407552
9/1/2005,SFS,38596_SFS,3.983251946,0
9/2/2005,MAR,38597_MAR,0.375921379,27.52306323
9/2/2005,VAL,38597_VAL,0.466234638,3.147987234
9/4/2005,BVA,38599_BVA,3.50764728,0
9/4/2005,ELK,38599_ELK,4.100541964,0.135498669
9/5/2005,CHO,38600_CHO,1.994089407,19.17311298
7/19/2006,LAK,38917_LAK,1.320559385,0.525444813
7/20/2006,SFS,38918_SFS,7.000852025,0.505165134
7/20/2006,VAL,38918_VAL,1.120473084,4.135262685
7/21/2006,CHO,38919_CHO,3.706289936,2.650002001
7/21/2006,ELK,38919_ELK,5.772326332,1.931209484
7/21/2006,MAR,38919_MAR,1.733556987,17.30198707
7/22/2006,BVA,38920_BVA,7.362842733,0.809982391
8/29/2006,LAK,38958_LAK,3.784962116,0.587922257
8/29/2006,SFS,38958_SFS,6.569980539,1.292367801
8/30/2006,VAL,38959_VAL,1.411879241,1.720593224
9/1/2006,CHO,38961_CHO,1.902256717,2.89787085
9/2/2006,MAR,38962_MAR,1.763961927,25.93521802
9/3/2006,BVA,38963_BVA,5.087884921,1.095431533
9/4/2006,ELK,38964_ELK,5.233330166,2.728673857
7/18/2007,LAK,39281_LAK,1.417571457,0.815896235
7/19/2007,SFS,39282_SFS,7.761640828,0.498963804
7/20/2007,VAL,39283_VAL,0.985357878,0.861973559
7/21/2007,MAR,39284_MAR,0.69741406,4.03787735
7/22/2007,BVA,39285_BVA,2.754116381,0.882933772
7/22/2007,ELK,39285_ELK,2.150030778,0.521660017
7/23/2007,CHO,39286_CHO,1.977628298,0.508283428
8/27/2007,VAL,39321_VAL,0.391292725,3.225740496
8/30/2007,BVA,39324_BVA,2.900539557,1.260669377
8/30/2007,ELK,39324_ELK,3.848914286,0.374201585
8/31/2007,CHO,39325_CHO,1.165154203,2.696439107
8/31/2007,MAR,39325_MAR,0.501225891,22.45035507
10/4/2007,LAK,39359_LAK,1.883847313,0.201109993
10/5/2007,SFS,39360_SFS,11.62715815,0.893446583
7/22/2008,VAL,39651_VAL,1.436438162,3.41167093
7/24/2008,CHO,39653_CHO,0.434707168,1.130249302
7/24/2008,MAR,39653_MAR,0.444046144,16.65800737
7/25/2008,BVA,39654_BVA,13.83273803,2.363798586
7/25/2008,ELK,39654_ELK,5.469608147,0.166900187
7/28/2008,SFS,39657_SFS,29.32882517,10.3423845
7/29/2008,LAK,39658_LAK,3.56433425,0.624734644
9/4/2008,VAL,39695_VAL,0.33085139,4.620313512
9/5/2008,BVA,39696_BVA,8.893770072,0.708769032
9/6/2008,CHO,39697_CHO,1.132792055,2.268917407
9/6/2008,MAR,39697_MAR,5.125791775,34.20768307
9/7/2008,ELK,39698_ELK,4.638703086,2.330294121
9/9/2008,SFS,39700_SFS,16.7637803,2.727994765
9/11/2008,LAK,39702_LAK,3.314126686,0.012542455
7/23/2009,LAK,40017_LAK,4.889439455,0.826601188
7/24/2009,SFS,40018_SFS,9.170088699,8.198722102
7/26/2009,VAL,40020_VAL,1.17867078,1.60319354
7/27/2009,BVA,40021_BVA,5.477266284,0.891380439
7/27/2009,ELK,40021_ELK,10.12695165,21.65663644
7/28/2009,CHO,40022_CHO,1.518749274,6.168737743
7/28/2009,MAR,40022_MAR,2.425713505,22.1644596
9/3/2009,VAL,40059_VAL,0.068038365,0.914641311
9/4/2009,CHO,40060_CHO,0.660514091,0.932604566
9/4/2009,MAR,40060_MAR,0.03692799,22.28278669
9/6/2009,BVA,40062_BVA,0.750228112,0.503982033
9/6/2009,ELK,40062_ELK,0.449917818,1.292475912
9/9/2009,SFS,40065_SFS,12.21296382,9.536042998
9/10/2009,LAK,40066_LAK,3.089501394,0.079893543
7/20/2010,LAK,40379_LAK,2.893409161,0.394088808
7/22/2010,SFS,40381_SFS,6.5691713,20.58098428
7/23/2010,MAR,40382_MAR,0.429300321,6.921473862
7/24/2010,ELK,40383_ELK,2.897471418,0.120473892
7/25/2010,BVA,40384_BVA,4.325858766,0.110760684
7/26/2010,VAL,40385_VAL,0.530537413,2.093909454
7/27/2010,CHO,40386_CHO,0.603359858,1.196811535
8/31/2010,LAK,40421_LAK,2.010248036,0.411430172
9/1/2010,SFS,40422_SFS,6.714277432,8.220032495
9/2/2010,BVA,40423_BVA,3.917637684,0.511242006
9/2/2010,ELK,40423_ELK,3.722332265,0.633098851
9/3/2010,CHO,40424_CHO,0.617676288,1.430889823
9/3/2010,MAR,40424_MAR,0.878208397,14.07094305
9/4/2010,VAL,40425_VAL,0.533416929,2.000482718
7/19/2011,LAK,40743_LAK,2.32,0.1
7/21/2011,SFS,40745_SFS,6.6,24.6
7/22/2011,CHO,40746_CHO,0.34,1.16
7/23/2011,BVA,40747_BVA,7.12,1.28
7/24/2011,ELK,40748_ELK,3.46,0.66
7/25/2011,MAR,40749_MAR,0.3,1.88
7/26/2011,VAL,40750_VAL,0.38,6.58
9/4/2011,VAL,40790_VAL,0.2,3.34
9/5/2011,MAR,40791_MAR,0.3,17.14
9/6/2011,CHO,40792_CHO,0.74,1.42
9/7/2011,ELK,40793_ELK,4.36,2.62
9/8/2011,BVA,40794_BVA,5.6,1.1
9/13/2011,SFS,40799_SFS,8.12,7.18
9/14/2011,LAK,40800_LAK,2.74,0.02
8/6/2013,VAL,41492_VAL,0.766666667,1.766666667
8/7/2013,CHO,41493_CHO,0.633333333,2.4
8/7/2013,MAR,41493_MAR,0.4,2.7
8/11/2013,BVA,41497_BVA,7.733333333,4.333333333
8/12/2013,ELK,41498_ELK,5.366666667,4.5
8/18/2013,SFS,41504_SFS,3.033333333,2
8/25/2013,LAK,41511_LAK,1.8,0.733333333
9/10/2013,CHO,41527_CHO,0.133333333,0.9
9/10/2013,MAR,41527_MAR,0.533333333,4.666666667
9/11/2013,BVA,41528_BVA,3.333333333,2.166666667
9/11/2013,ELK,41528_ELK,2,0.6
9/11/2013,VAL,41528_VAL,5.166666667,3.266666667
9/12/2013,SFS,41529_SFS,5.133333333,5.4
9/13/2013,LAK,41530_LAK,1.033333333,0.466666667
7/28/2014,LAK,41848_LAK,5.66,0.5
7/29/2014,SFS,41849_SFS,9.56,0.9
7/30/2014,BVA,41850_BVA,8.38,0.74
7/30/2014,ELK,41850_ELK,7.04,2.54
7/31/2014,CHO,41851_CHO,3.66,0.88
7/31/2014,MAR,41851_MAR,3.28,10.54
8/1/2014,VAL,41852_VAL,4.5,4.46
9/3/2014,CHO,41885_CHO,4.16,2.32
9/3/2014,MAR,41885_MAR,3.9,3.683333333
9/4/2014,BVA,41886_BVA,9.64,0.76
9/4/2014,ELK,41886_ELK,9.24,3.54
9/5/2014,LAK,41887_LAK,5.616666667,1.15
9/5/2014,VAL,41887_VAL,6.36,4.02
9/6/2014,SFS,41888_SFS,8.64,0.92
9/8/2015,CHO,42255_CHO,2.525,2.85
9/8/2015,MAR,42255_MAR,9.433333333,32.16666667
9/9/2015,BVA,42256_BVA,16.23333333,4.166666667
9/9/2015,ELK,42256_ELK,14.36666667,5.133333333
9/11/2015,VAL,42258_VAL,2.8,7
9/12/2015,LAK,42259_LAK,6.966666667,3.733333333
9/12/2015,SFS,42259_SFS,16.73333333,3.533333333
7/7/2016,CHO,42558_CHO,1.76,2.02
7/7/2016,VAL,42558_VAL,0.66,11.22
7/8/2016,BVA,42559_BVA,7.42,1.08
7/8/2016,ELK,42559_ELK,3.82,1.28
7/9/2016,MAR,42560_MAR,1.22,14.82
7/10/2016,LAK,42561_LAK,3.92,1.16
7/11/2016,SFS,42562_SFS,6.96,2
8/31/2016,CHO,42613_CHO,5.12,2.88
8/31/2016,MAR,42613_MAR,5.52,23.96
9/1/2016,BVA,42614_BVA,15.1,4.9
9/1/2016,ELK,42614_ELK,20.4,4.8
9/1/2016,VAL,42614_VAL,6.45,3.075
9/2/2016,SFS,42615_SFS,13,2.56
9/3/2016,LAK,42616_LAK,9.425,4.55
